Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
29/1/2007,16:56:00,1.388,0,245.9,5.6,0,0,19.0
13/2/2007,15:20:00,0.712,0.214,241.74,3,0,0,0.0
8/1/07,1:26:00,1.294,0,240.84,5.4,0,1,18.0
5/6/07,13:11:00,0.254,0.074,234.88,1,0,0,0.0
29/4/2007,14:24:00,?,?,?,?,?,?,
25/2/2007,1:38:00,0.394,0.244,240.74,1.8,0,2,0.0
25/5/2007,4:52:00,0.21,0.05,237.07,0.8,0,0,0.0
18/1/2007,9:36:00,1.414,0.166,239.43,6,0,0,18.0
8/3/07,1:39:00,0.308,0.066,240.86,1.2,0,1,0.0
18/1/2007,16:31:00,2.732,0.468,241.11,11.6,0,0,18.0
20/4/2007,8:03:00,1.326,0.12,240.78,5.4,0,0,18.0
11/3/07,4:05:00,2.392,0,240.68,9.8,0,0,0.0
17/1/2007,19:20:00,2.448,0.062,236.67,10.4,0,0,0.0
2/1/07,6:49:00,0.566,0.278,244.46,2.6,0,0,0.0
3/1/07,2:58:00,0.352,0.198,246.16,1.6,0,0,0.0
5/3/07,1:14:00,0.24,0,240.29,1,0,0,0.0
9/3/07,7:35:00,2.202,0.2,240.61,9.2,0,0,18.0
25/2/2007,23:23:00,0.364,0.202,243.42,1.8,0,0,0.0
22/1/2007,12:19:00,1.378,0.114,242.25,5.6,0,0,18.0
7/3/07,19:35:00,4.676,0.328,233.07,20,0,36,17.0
12/4/07,5:07:00,0.216,0,240.58,0.8,0,0,0.0
27/6/2007,17:07:00,0.23,0.114,239.42,1,0,0,0.0
29/4/2007,15:27:00,?,?,?,?,?,?,
19/2/2007,3:09:00,0.344,0.134,241.69,1.6,0,0,0.0
16/2/2007,9:59:00,0.436,0.25,239.85,2,0,1,0.0
25/3/2007,2:43:00,2.484,0.184,241.37,10.2,0,0,0.0
14/3/2007,12:38:00,1.336,0,242.89,5.4,0,0,18.0
13/4/2007,22:58:00,0.22,0,242.27,0.8,0,0,0.0
17/1/2007,16:00:00,2.056,0.094,244.72,8.4,0,1,19.0
5/4/07,16:46:00,0.398,0.178,242.35,1.8,0,0,0.0
16/4/2007,5:33:00,0.126,0,239.64,0.6,0,0,0.0
14/5/2007,15:51:00,0.544,0.176,236.77,2.6,0,0,0.0
17/4/2007,16:40:00,0.258,0.134,242.25,1.2,0,0,0.0
20/4/2007,23:06:00,0.348,0.158,242.63,1.6,0,0,0.0
10/5/07,18:10:00,0.318,0.194,233.96,1.6,0,1,0.0
6/1/07,21:00:00,0.888,0,240.51,4,0,0,0.0
20/6/2007,6:23:00,0.16,0.102,242.01,0.8,0,2,0.0
18/6/2007,12:45:00,0.27,0.238,240.77,1.4,0,0,0.0
3/4/07,14:22:00,0.332,0.13,242.4,1.4,0,0,0.0
17/2/2007,5:48:00,0.528,0,238.89,2.2,0,0,0.0
17/5/2007,12:03:00,0.398,0.224,237.41,1.8,0,1,0.0
17/2/2007,2:48:00,0.328,0.142,242.62,1.4,0,0,0.0
23/1/2007,10:58:00,0.308,0.116,240.03,1.4,0,0,0.0
21/4/2007,13:00:00,1.612,0.116,241.67,6.6,0,0,17.0
21/3/2007,10:47:00,1.344,0.068,238.59,5.6,0,0,18.0
4/2/07,0:12:00,5.134,0,238.7,21.4,38,0,17.0
10/4/07,20:30:00,1.068,0.148,240.42,4.6,0,2,0.0
8/6/07,8:46:00,1.28,0.046,232.29,5.4,0,0,17.0
16/3/2007,13:08:00,0.296,0.08,239.45,1.2,0,0,0.0
18/2/2007,13:10:00,6.098,0.312,236.16,25.8,0,67,17.0
18/3/2007,9:59:00,1.81,0.172,241.13,7.4,0,7,18.0
3/3/07,2:42:00,0.22,0,243.95,0.8,0,0,0.0
25/4/2007,10:41:00,1.392,0.054,233.25,6,0,0,17.0
2/5/07,20:06:00,0.4,0.1,235.27,2,0,0,0.0
3/5/07,23:36:00,1.222,0.062,237.37,5,0,0,17.0
4/3/07,5:14:00,0.266,0.056,242.21,1.2,0,0,0.0
26/2/2007,18:46:00,0.214,0,239.27,0.8,0,0,0.0
28/5/2007,18:59:00,3.834,0.17,233.83,16.4,37,0,17.0
12/2/07,12:39:00,0.26,0,243.71,1.2,0,0,0.0
3/1/07,13:03:00,1.344,0.054,243.57,5.4,0,0,18.0
19/1/2007,8:52:00,1.448,0.164,236.61,6.2,1,0,17.0
8/6/07,16:56:00,0.444,0,240.9,1.8,0,4,0.0
6/2/07,23:25:00,0.24,0,247.3,1,0,0,0.0
11/3/07,18:10:00,3.46,0.21,240.21,14.6,0,24,18.0
15/1/2007,1:55:00,1.36,0.116,238.73,5.6,0,0,18.0
15/5/2007,19:24:00,1.224,0.046,233.5,5.2,0,0,17.0
29/4/2007,7:15:00,?,?,?,?,?,?,
7/2/07,9:21:00,1.428,0.1,239.25,6,1,0,17.0
4/3/07,15:23:00,1.354,0,241.41,5.6,0,0,17.0
6/4/07,21:22:00,2.352,0.072,238.7,9.8,0,0,17.0
13/1/2007,17:24:00,3.188,0.14,234.06,13.6,0,0,17.0
29/5/2007,23:31:00,0.36,0.176,239.76,1.6,0,2,0.0
27/1/2007,18:11:00,1.63,0.082,236.43,6.8,0,0,17.0
9/3/07,3:46:00,0.316,0.096,243.89,1.4,0,2,0.0
9/5/07,9:18:00,1.278,0.206,232.08,5.4,0,1,16.0
25/1/2007,12:03:00,0.21,0,242.87,0.8,0,0,0.0
7/4/07,17:04:00,0.3,0,240.24,1.2,0,0,0.0
25/5/2007,20:29:00,1.778,0.178,234.72,7.6,1,0,16.0
30/6/2007,6:04:00,1.53,0.096,240.6,6.2,0,0,18.0
14/5/2007,5:43:00,0.314,0.124,237.3,1.4,0,0,0.0
6/2/07,22:00:00,1.614,0.058,239.84,6.6,0,0,17.0
9/6/07,17:43:00,0.504,0.116,241.99,2.2,0,0,0.0
25/5/2007,12:37:00,0.248,0,234.07,1,0,0,0.0
15/6/2007,14:11:00,0.224,0.138,240.91,1,0,1,0.0
1/4/07,17:19:00,4.846,0.068,232.84,20.8,37,36,0.0
29/5/2007,17:53:00,0.324,0.098,237.51,1.4,0,0,0.0
3/2/07,17:58:00,2.498,0.172,237.29,10.6,0,0,18.0
23/5/2007,21:52:00,2.146,0,232.5,9.2,0,1,16.0
26/5/2007,22:57:00,1.446,0,234.78,6,0,0,17.0
7/6/07,21:16:00,1.066,0.318,235.04,4.8,2,1,0.0
22/5/2007,15:22:00,0.362,0.16,235.9,1.6,0,1,0.0
23/1/2007,0:45:00,1.756,0.228,242.66,7.4,0,2,18.0
7/1/07,12:36:00,0.414,0.13,238.79,1.8,0,0,0.0
25/1/2007,20:26:00,2.08,0.114,240.37,8.6,0,0,18.0
29/4/2007,9:30:00,?,?,?,?,?,?,
5/4/07,21:50:00,3.662,0.142,237.6,15.4,1,21,17.0
26/1/2007,4:55:00,0.298,0.098,244.74,1.4,0,0,0.0
16/1/2007,21:04:00,1.472,0.244,239.1,6.2,0,2,0.0
17/5/2007,22:48:00,1.512,0.046,234.43,6.4,0,0,17.0
15/2/2007,3:24:00,0.282,0,243.47,1.4,0,0,0.0
30/6/2007,17:30:00,1.48,0.11,239.93,6.2,1,1,18.0
27/4/2007,11:03:00,0.272,0.102,233.2,1.2,0,0,0.0
18/2/2007,19:30:00,5.954,0.306,234.6,25.4,38,0,17.0
30/5/2007,3:31:00,0.306,0.076,236.71,1.2,0,0,0.0
9/1/07,23:00:00,2.788,0.22,244.02,11.4,0,38,0.0
10/6/07,23:23:00,0.732,0.266,243.46,3.2,0,0,0.0
13/2/2007,22:52:00,0.482,0.272,245.02,2.2,0,0,0.0
4/5/07,14:14:00,0.312,0.104,233.92,1.6,0,1,0.0
9/5/07,23:32:00,0.628,0.264,238.22,2.8,0,1,0.0
1/1/07,21:38:00,0.38,0,239.28,1.6,0,0,0.0
3/4/07,4:19:00,0.294,0.086,241.2,1.2,0,0,0.0
23/6/2007,9:36:00,0.12,0,239.41,0.6,0,0,0.0
30/6/2007,4:47:00,0.28,0.208,242.1,1.4,0,2,0.0
12/5/07,12:39:00,0.46,0.232,236.56,2.2,0,1,0.0
24/5/2007,13:03:00,0.288,0.062,235.82,1.2,0,0,0.0
26/5/2007,5:00:00,0.312,0.09,235.64,1.4,0,0,0.0
20/1/2007,22:03:00,1.018,0,238.76,4.2,0,0,0.0
15/4/2007,0:53:00,0.286,0.088,240.87,1.2,0,0,0.0
19/5/2007,3:06:00,0.392,0.176,234.92,1.8,0,0,0.0
17/2/2007,16:34:00,0.694,0.542,240.48,3.6,0,2,0.0
6/1/07,19:17:00,1.658,0.106,234.37,7,0,1,0.0
30/6/2007,10:11:00,0.31,0.202,238.01,1.6,0,0,0.0
14/1/2007,22:17:00,1.408,0.106,238.52,5.8,0,1,17.0
5/3/07,19:53:00,3.494,0.364,236.99,15,1,21,0.0
6/3/07,12:04:00,0.484,0.344,242.73,2.4,0,2,0.0
9/5/07,22:10:00,2.264,0.074,236.68,9.6,1,0,17.0
27/5/2007,14:25:00,3.858,0.166,231,16.6,36,0,17.0
13/3/2007,19:23:00,1.844,0,236.45,8.2,4,1,0.0
4/4/07,15:28:00,1.538,0.256,242.11,6.4,2,1,18.0
18/2/2007,5:46:00,0.256,0,243.73,1,0,0,0.0
11/4/07,11:00:00,1.596,0,238.95,6.6,0,0,17.0
13/5/2007,1:07:00,0.462,0.354,236.48,2.4,0,1,0.0
19/3/2007,7:45:00,1.642,0.094,240.67,6.8,0,0,18.0
19/5/2007,15:55:00,2.626,0.234,234.21,11.2,35,0,0.0
16/4/2007,12:40:00,0.572,0.112,239.36,2.4,0,0,0.0
6/1/07,18:35:00,0.8,0,236.65,3.4,0,0,0.0
9/2/07,8:26:00,1.456,0.232,238.43,6.2,0,2,18.0
7/5/07,17:12:00,0.292,0.2,234.24,1.4,0,0,0.0
18/4/2007,9:18:00,0.124,0,240.94,0.6,0,0,0.0
6/6/07,16:16:00,0.57,0.086,236.02,2.4,0,1,0.0
7/6/07,1:59:00,0.172,0,234.84,0.8,0,0,0.0
24/2/2007,10:26:00,0.214,0,240.12,0.8,0,0,0.0
2/3/07,15:55:00,0.226,0,242.16,1,0,0,0.0
23/6/2007,1:11:00,0.322,0.266,241.37,1.8,0,2,0.0
8/4/07,12:00:00,0.492,0.092,238.85,2.4,0,1,0.0
18/5/2007,1:44:00,0.288,0.056,237.19,1.2,0,0,0.0
15/2/2007,23:33:00,1.692,0.24,244.07,7,0,1,18.0
6/4/07,6:59:00,1.946,0.216,239.48,8.2,0,1,0.0
4/3/07,23:02:00,0.226,0,241.41,1,0,0,0.0
1/2/07,14:14:00,0.376,0.164,240,1.8,0,0,0.0
4/6/07,16:41:00,0.254,0.088,234.38,1,0,1,0.0
18/5/2007,16:52:00,0.246,0.05,235.24,1,0,0,0.0
28/4/2007,22:58:00,?,?,?,?,?,?,
20/4/2007,12:05:00,0.29,0.234,240.05,1.6,0,0,0.0
31/3/2007,1:33:00,0.31,0,242.34,1.4,0,0,0.0
29/6/2007,22:34:00,0.892,0,240.83,3.8,1,0,0.0
18/2/2007,6:50:00,3.398,0.092,239.02,14.2,0,2,18.0
