Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
23/01/2007,15:00:00,0.31,0.138,244.8,1.4,0,0,0.0
23/01/2007,15:01:00,0.312,0.142,245.55,1.4,0,0,0.0
23/01/2007,15:02:00,0.312,0.142,245.65,1.4,0,0,0.0
23/01/2007,15:03:00,0.31,0.142,245.57,1.4,0,0,0.0
23/01/2007,15:04:00,0.316,0.142,245.45,1.4,0,0,0.0
23/01/2007,15:05:00,0.316,0.142,245.25,1.4,0,0,0.0
23/01/2007,15:06:00,0.278,0.086,246,1.2,0,0,0.0
23/01/2007,15:07:00,0.222,0,246.26,1,0,0,0.0
23/01/2007,15:08:00,0.22,0,244.98,1,0,0,0.0
23/01/2007,15:09:00,0.218,0,244.76,1,0,0,0.0
23/01/2007,15:10:00,0.214,0,245.46,0.8,0,0,0.0
23/01/2007,15:11:00,0.28,0.068,243.84,1.4,0,0,0.0
23/01/2007,15:12:00,0.288,0.104,244.52,1.2,0,0,0.0
23/01/2007,15:13:00,0.292,0.108,245.46,1.2,0,0,0.0
23/01/2007,15:14:00,0.294,0.112,246.05,1.2,0,0,0.0
23/01/2007,15:15:00,0.292,0.11,245.61,1.2,0,0,0.0
23/01/2007,15:16:00,0.294,0.12,247.66,1.2,0,0,0.0
23/01/2007,15:17:00,0.294,0.12,247.94,1.2,0,0,0.0
23/01/2007,15:18:00,0.292,0.122,248.06,1.2,0,0,0.0
23/01/2007,15:19:00,0.298,0.122,248.26,1.2,0,0,0.0
23/01/2007,15:20:00,0.3,0.124,248.41,1.2,0,0,0.0
23/01/2007,15:21:00,0.296,0.118,247.26,1.2,0,0,0.0
23/01/2007,15:22:00,0.294,0.114,246.44,1.2,0,0,0.0
23/01/2007,15:23:00,0.224,0,246.96,1,0,0,0.0
23/01/2007,15:24:00,0.216,0,247.32,1,0,0,0.0
23/01/2007,15:25:00,0.218,0,247.8,1,0,0,0.0
23/01/2007,15:26:00,0.218,0,248.25,1,0,0,0.0
23/01/2007,15:27:00,0.218,0,248.25,1,0,0,0.0
23/01/2007,15:28:00,0.218,0,247.72,1,0,0,0.0
23/01/2007,15:29:00,0.218,0,247.35,1,0,0,0.0
23/01/2007,15:30:00,0.218,0,247.37,1,0,0,0.0
23/01/2007,15:31:00,0.238,0,247.1,1.2,0,0,0.0
23/01/2007,15:32:00,0.33,0.152,247.49,1.4,0,0,0.0
23/01/2007,15:33:00,0.328,0.15,247.15,1.4,0,0,0.0
23/01/2007,15:34:00,0.332,0.154,247.65,1.4,0,0,0.0
23/01/2007,15:35:00,0.334,0.16,248.65,1.4,0,0,0.0
23/01/2007,15:36:00,0.332,0.158,248.35,1.4,0,0,0.0
23/01/2007,15:37:00,0.328,0.156,247.92,1.4,0,0,0.0
23/01/2007,15:38:00,0.316,0.144,245.77,1.4,0,0,0.0
23/01/2007,15:39:00,0.316,0.146,246.17,1.4,0,0,0.0
23/01/2007,15:40:00,0.314,0.146,246.18,1.4,0,0,0.0
23/01/2007,15:41:00,0.316,0.152,247.13,1.4,0,0,0.0
23/01/2007,15:42:00,0.316,0.152,247.43,1.4,0,0,0.0
23/01/2007,15:43:00,0.314,0.15,246.93,1.4,0,0,0.0
23/01/2007,15:44:00,0.312,0.148,246.67,1.4,0,0,0.0
23/01/2007,15:45:00,0.378,0.224,246,1.8,0,0,0.0
23/01/2007,15:46:00,0.308,0.144,246.57,1.4,0,2,0.0
23/01/2007,15:47:00,0.3,0.136,246.81,1.4,0,1,0.0
23/01/2007,15:48:00,0.3,0.134,246.48,1.4,0,1,0.0
23/01/2007,15:49:00,0.308,0.136,246.76,1.4,0,2,0.0
23/01/2007,15:50:00,0.308,0.134,246.47,1.4,0,1,0.0
23/01/2007,15:51:00,0.308,0.134,246.45,1.4,0,2,0.0
23/01/2007,15:52:00,0.31,0.136,246.97,1.4,0,1,0.0
23/01/2007,15:53:00,0.31,0.138,247.16,1.4,0,1,0.0
23/01/2007,15:54:00,0.308,0.138,247.35,1.4,0,2,0.0
23/01/2007,15:55:00,0.302,0.138,247.32,1.4,0,1,0.0
23/01/2007,15:56:00,0.302,0.138,247.53,1.4,0,2,0.0
23/01/2007,15:57:00,0.302,0.14,247.99,1.4,0,1,0.0
23/01/2007,15:58:00,0.302,0.138,247.74,1.4,0,1,0.0
23/01/2007,15:59:00,0.3,0.138,247.57,1.4,0,2,0.0
23/01/2007,16:00:00,0.354,0.194,247.36,1.8,0,1,0.0
23/01/2007,16:01:00,0.372,0.24,246.34,1.8,0,1,0.0
23/01/2007,16:02:00,0.374,0.244,246.99,1.8,0,2,0.0
23/01/2007,16:03:00,0.37,0.24,246.28,1.8,0,1,0.0
23/01/2007,16:04:00,0.304,0.12,246.85,1.4,0,0,0.0
23/01/2007,16:05:00,0.3,0.114,246.58,1.2,0,0,0.0
23/01/2007,16:06:00,0.298,0.114,246.9,1.2,0,0,0.0
23/01/2007,16:07:00,0.298,0.116,247,1.2,0,0,0.0
23/01/2007,16:08:00,0.296,0.114,246.77,1.2,0,0,0.0
23/01/2007,16:09:00,0.294,0.112,246.24,1.2,0,0,0.0
23/01/2007,16:10:00,0.294,0.112,246.16,1.2,0,0,0.0
23/01/2007,16:11:00,0.352,0.164,246.34,1.6,0,0,0.0
23/01/2007,16:12:00,0.336,0.148,247.04,1.4,0,0,0.0
23/01/2007,16:13:00,0.33,0.148,246.98,1.4,0,0,0.0
23/01/2007,16:14:00,0.324,0.152,247.52,1.4,0,0,0.0
23/01/2007,16:15:00,0.324,0.156,248.31,1.4,0,0,0.0
23/01/2007,16:16:00,0.324,0.156,248.4,1.4,0,0,0.0
23/01/2007,16:17:00,0.322,0.158,248.75,1.4,0,0,0.0
23/01/2007,16:18:00,0.322,0.162,249.18,1.4,0,0,0.0
23/01/2007,16:19:00,0.326,0.16,248.97,1.4,0,0,0.0
23/01/2007,16:20:00,0.326,0.158,248.38,1.4,0,0,0.0
23/01/2007,16:21:00,0.324,0.154,247.75,1.4,0,0,0.0
23/01/2007,16:22:00,0.322,0.15,247.07,1.4,0,0,0.0
23/01/2007,16:23:00,0.318,0.146,246.31,1.4,0,0,0.0
23/01/2007,16:24:00,0.318,0.146,246.22,1.4,0,0,0.0
23/01/2007,16:25:00,0.27,0.074,245.88,1.2,0,0,0.0
23/01/2007,16:26:00,0.22,0,245.39,1,0,0,0.0
23/01/2007,16:27:00,0.254,0,245.22,1,0,0,0.0
23/01/2007,16:28:00,0.34,0,245.96,1.4,0,0,0.0
23/01/2007,16:29:00,0.238,0,246.23,1,0,0,0.0
23/01/2007,16:30:00,0.222,0,246.11,1,0,0,0.0
23/01/2007,16:31:00,0.216,0,246.08,1,0,0,0.0
23/01/2007,16:32:00,0.216,0,246.72,1,0,0,0.0
23/01/2007,16:33:00,0.216,0,247.05,1,0,0,0.0
23/01/2007,16:34:00,0.236,0,246.77,1,0,0,0.0
23/01/2007,16:35:00,0.234,0,247.07,1,0,0,0.0
23/01/2007,16:36:00,0.334,0,246.99,1.4,0,0,0.0
23/01/2007,16:37:00,0.49,0,247.03,2,0,0,0.0
23/01/2007,16:38:00,0.238,0,246.98,1,0,0,0.0
23/01/2007,16:39:00,0.222,0,246.69,1,0,0,0.0
23/01/2007,16:40:00,0.224,0,247.33,1,0,0,0.0
23/01/2007,16:41:00,0.224,0,247.07,1,0,0,0.0
23/01/2007,16:42:00,0.222,0,246.21,1,0,0,0.0
23/01/2007,16:43:00,0.292,0.078,245.13,1.4,0,0,0.0
23/01/2007,16:44:00,0.332,0.146,245.99,1.4,0,0,0.0
23/01/2007,16:45:00,0.33,0.146,246.24,1.4,0,0,0.0
23/01/2007,16:46:00,0.324,0.142,245.62,1.4,0,0,0.0
23/01/2007,16:47:00,0.482,0.226,245.12,2.2,0,0,0.0
23/01/2007,16:48:00,0.422,0.248,245.01,2,0,0,0.0
23/01/2007,16:49:00,0.4,0.25,245.27,1.8,0,0,0.0
23/01/2007,16:50:00,0.4,0.254,245.88,1.8,0,0,0.0
23/01/2007,16:51:00,0.4,0.258,246.45,1.8,0,0,0.0
23/01/2007,16:52:00,0.398,0.26,246.76,1.8,0,0,0.0
23/01/2007,16:53:00,0.396,0.258,246.52,1.8,0,0,0.0
23/01/2007,16:54:00,0.392,0.256,246.26,1.8,0,0,0.0
23/01/2007,16:55:00,0.392,0.26,246.88,1.8,0,0,0.0
23/01/2007,16:56:00,0.652,0.254,246.7,2.8,0,0,0.0
23/01/2007,16:57:00,0.684,0.248,245.88,3,0,0,0.0
23/01/2007,16:58:00,0.68,0.246,245.94,2.8,0,0,0.0
23/01/2007,16:59:00,0.68,0.248,246.23,2.8,0,0,0.0
23/01/2007,17:00:00,0.668,0.23,246.43,2.8,0,0,0.0
23/01/2007,17:01:00,0.516,0,246.39,2,0,0,0.0
23/01/2007,17:02:00,0.516,0,246.1,2,0,0,0.0
23/01/2007,17:03:00,0.512,0,245.48,2,0,0,0.0
23/01/2007,17:04:00,0.518,0,245.27,2,0,0,0.0
23/01/2007,17:05:00,0.518,0,244.67,2,0,0,0.0
23/01/2007,17:06:00,0.518,0,245.15,2,0,0,0.0
23/01/2007,17:07:00,0.518,0,244.89,2,0,0,0.0
23/01/2007,17:08:00,0.516,0,244.54,2,0,0,0.0
23/01/2007,17:09:00,0.518,0,245.05,2,0,0,0.0
23/01/2007,17:10:00,0.718,0,244.59,3.4,0,0,1.0
23/01/2007,17:11:00,1.642,0,242.95,6.6,0,0,19.0
23/01/2007,17:12:00,2.224,0,242.41,9.2,0,0,18.0
23/01/2007,17:13:00,2.452,0,241.87,10,0,0,19.0
23/01/2007,17:14:00,2.45,0,242.16,10,0,0,18.0
23/01/2007,17:15:00,2.456,0,242.76,10,0,0,18.0
23/01/2007,17:16:00,2.462,0,243.18,10,0,0,18.0
23/01/2007,17:17:00,2.448,0,242.52,10,0,0,18.0
23/01/2007,17:18:00,2.446,0,242.46,10,0,0,18.0
23/01/2007,17:19:00,2.454,0,242.89,10,0,0,18.0
23/01/2007,17:20:00,2.442,0,242.31,10,0,0,18.0
23/01/2007,17:21:00,2.476,0,241.57,10.2,0,0,18.0
23/01/2007,17:22:00,2.714,0.112,242.47,11.2,0,0,18.0
23/01/2007,17:23:00,2.884,0.11,242.44,11.8,0,0,18.0
23/01/2007,17:24:00,2.878,0.108,242.2,11.8,0,0,18.0
23/01/2007,17:25:00,2.858,0.106,241.34,11.8,0,0,18.0
23/01/2007,17:26:00,2.864,0.112,241.54,11.8,0,0,18.0
23/01/2007,17:27:00,2.874,0.128,241.64,11.8,0,0,18.0
23/01/2007,17:28:00,2.902,0.134,243.12,11.8,0,0,18.0
23/01/2007,17:29:00,2.874,0.128,241.72,11.8,0,0,18.0
23/01/2007,17:30:00,2.87,0.128,241.63,11.8,0,0,18.0
23/01/2007,17:31:00,2.872,0.128,241.77,11.8,0,0,18.0
23/01/2007,17:32:00,2.87,0.128,241.72,11.8,0,0,18.0
23/01/2007,17:33:00,2.876,0.13,242.07,11.8,0,0,18.0
23/01/2007,17:34:00,2.856,0.124,240.93,11.8,0,0,17.0
23/01/2007,17:35:00,2.846,0.122,240.23,11.8,0,0,18.0
23/01/2007,17:36:00,2.868,0.126,241.34,11.8,0,0,18.0
23/01/2007,17:37:00,2.954,0.222,241.58,12.2,0,0,18.0
23/01/2007,17:38:00,2.84,0.102,240.93,11.8,0,0,17.0
23/01/2007,17:39:00,2.882,0.094,241.42,11.8,0,0,18.0
23/01/2007,17:40:00,2.906,0.092,241.09,12,0,0,18.0
23/01/2007,17:41:00,1.944,0.104,241.94,8,0,0,3.0
23/01/2007,17:42:00,1.846,0.104,242.01,7.6,0,0,0.0
23/01/2007,17:43:00,1.854,0.108,242.82,7.6,0,0,0.0
23/01/2007,17:44:00,1.858,0.11,243.24,7.6,0,0,0.0
23/01/2007,17:45:00,1.846,0.106,242.41,7.6,0,0,0.0
23/01/2007,17:46:00,1.842,0.106,242.09,7.6,0,0,0.0
23/01/2007,17:47:00,1.84,0.104,241.88,7.6,0,0,0.0
23/01/2007,17:48:00,1.842,0.106,242.13,7.6,0,0,0.0
23/01/2007,17:49:00,1.87,0.132,241.21,7.8,0,0,0.0
23/01/2007,17:50:00,1.572,0.124,241.28,6.4,0,1,0.0
23/01/2007,17:51:00,1.61,0.128,242.17,6.6,0,1,0.0
23/01/2007,17:52:00,1.588,0.128,242.01,6.6,0,2,0.0
23/01/2007,17:53:00,1.588,0.128,242.18,6.6,0,1,0.0
23/01/2007,17:54:00,1.59,0.13,242.65,6.4,0,2,0.0
23/01/2007,17:55:00,1.548,0.126,242.07,6.4,0,1,0.0
23/01/2007,17:56:00,1.768,0.184,241.13,7.6,0,1,0.0
23/01/2007,17:57:00,2.072,0.192,240.6,8.8,0,2,0.0
23/01/2007,17:58:00,1.858,0.124,242.24,7.6,0,1,0.0
23/01/2007,17:59:00,1.886,0.14,242.76,7.8,0,2,0.0
23/01/2007,18:00:00,1.976,0.266,243.31,8.2,0,1,0.0
23/01/2007,18:01:00,2.004,0.266,243.39,8.2,0,1,0.0
23/01/2007,18:02:00,2.23,0.254,242.05,9.2,0,2,0.0
23/01/2007,18:03:00,2.3,0.256,242.41,9.4,0,1,0.0
23/01/2007,18:04:00,2.126,0.254,241.81,8.8,0,1,0.0
23/01/2007,18:05:00,2.078,0.266,242.21,8.6,0,2,0.0
23/01/2007,18:06:00,2.338,0.336,242.41,9.6,0,1,0.0
