Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,BIOMASS,3000
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,CCGT,23497
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,COAL,1119
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTELEC,-119
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTEW,-87
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTFR,-79
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTIRL,-400
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTNED,844
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTNEM,-66
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTNSL,311
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,INTVKL,-385
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,NPSHYD,693
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,NUCLEAR,3460
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,OCGT,0
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,OIL,0
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,OTHER,519
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,PS,1384
FUELINST,2024-01-08T16:30:00Z,2024-01-08T16:25:00Z,2024-01-08,33,WIND,10831
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,BIOMASS,3001
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,CCGT,23497
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,COAL,1057
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTELEC,-119
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTEW,-102
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTFR,-79
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTIRL,-425
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTNED,845
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTNEM,-66
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTNSL,311
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,INTVKL,-385
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,NPSHYD,668
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,NUCLEAR,3454
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,OCGT,0
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,OIL,0
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,OTHER,589
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,PS,1399
FUELINST,2024-01-08T16:25:00Z,2024-01-08T16:20:00Z,2024-01-08,33,WIND,10784
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,BIOMASS,2991
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,CCGT,23369
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,COAL,996
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTELEC,-119
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTEW,-81
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTFR,-79
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTIRL,-447
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTNED,845
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTNEM,-66
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTNSL,310
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,INTVKL,-385
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,NPSHYD,670
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,NUCLEAR,3451
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,OCGT,0
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,OIL,0
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,OTHER,700
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,PS,1221
FUELINST,2024-01-08T16:20:00Z,2024-01-08T16:15:00Z,2024-01-08,33,WIND,10737
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,BIOMASS,2979
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,CCGT,23182
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,COAL,971
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTELEC,-119
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTEW,-56
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTFR,-79
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTIRL,-451
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTNED,845
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTNEM,-66
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTNSL,311
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,INTVKL,-385
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,NPSHYD,669
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,NUCLEAR,3456
FUELINST,2024-01-08T16:15:00Z,2024-01-08T16:10:00Z,2024-01-08,33,OCGT,0
